open_datetime,close_datetime,spread_side,grid_level,entry_spread,take_profit_spread,xau_open_price,xau_open_direction,xaut_open_price,xaut_open_direction,xau_open_amount,xaut_open_amount,xau_close_price,xau_close_direction,xaut_close_price,xaut_close_direction,fee,pnl
2026-01-04 14:52:00,2026-01-04 23:22:00,SHORT_SPREAD,14.0,14.0,11.0,4350.21,SELL,4336.099999999999,BUY,52202.520000000004,52033.2,4348.71,BUY,4337.599999999999,SELL,25.016572800000002,10.983427199999998
2026-01-05 00:59:00,2026-01-05 01:24:00,SHORT_SPREAD,14.0,14.0,11.0,4400.17,SELL,4386.0,BUY,52802.04,52632.0,4398.67,BUY,4387.5,SELL,25.3041696,10.695830399999998
2026-01-05 01:30:00,2026-01-05 01:35:00,SHORT_SPREAD,14.0,14.0,11.0,4401.92,SELL,4388.0,BUY,52823.04,52656.0,4400.42,BUY,4389.5,SELL,25.314969599999998,10.685030400000002
2026-01-05 02:30:00,2026-01-05 04:24:00,SHORT_SPREAD,14.0,14.0,11.0,4407.68,SELL,4393.4,BUY,52892.16,52720.799999999996,4406.18,BUY,4394.9,SELL,25.3471104,10.652889600000002
2026-01-05 06:32:00,2026-01-05 22:52:00,SHORT_SPREAD,14.0,14.0,11.0,4427.96,SELL,4411.8,BUY,53135.520000000004,52941.600000000006,4426.46,BUY,4413.3,SELL,25.458508800000004,10.541491199999996
2026-01-05 23:18:00,2026-01-06 00:45:00,SHORT_SPREAD,14.0,14.0,11.0,4456.57,SELL,4442.5,BUY,53478.84,53310.0,4455.07,BUY,4444.0,SELL,25.629321599999997,10.370678400000003
2026-01-06 01:01:00,2026-01-06 01:08:00,SHORT_SPREAD,14.0,14.0,11.0,4438.84,SELL,4424.7,BUY,53266.08,53096.399999999994,4437.34,BUY,4426.2,SELL,25.5269952,10.473004799999998
2026-01-06 04:12:00,2026-01-08 09:09:00,SHORT_SPREAD,14.0,14.0,11.0,4470.43,SELL,4456.2,BUY,53645.16,53474.399999999994,4468.93,BUY,4457.7,SELL,25.7086944,10.291305600000001
2026-01-08 10:26:00,2026-01-08 16:28:00,SHORT_SPREAD,14.0,14.0,11.0,4436.6,SELL,4422.7,BUY,53239.200000000004,53072.399999999994,4435.1,BUY,4424.2,SELL,25.514784,10.485216000000001
2026-01-08 18:00:00,2026-01-10 03:03:00,SHORT_SPREAD,14.0,14.0,11.0,4469.3,SELL,4454.8,BUY,53631.600000000006,53457.600000000006,4467.8,BUY,4456.3,SELL,25.701408000000004,10.298591999999996
2026-01-10 06:06:00,2026-01-10 07:30:00,SHORT_SPREAD,14.0,14.0,11.0,4511.3,SELL,4497.5,BUY,54135.600000000006,53970.0,4509.8,BUY,4499.0,SELL,25.945344000000002,10.054655999999998
2026-01-10 08:05:00,2026-01-10 09:59:00,SHORT_SPREAD,14.0,14.0,11.0,4514.51,SELL,4500.2,BUY,54174.12,54002.399999999994,4513.01,BUY,4501.7,SELL,25.962364800000003,10.037635199999997
2026-01-10 12:11:00,2026-01-10 18:21:00,SHORT_SPREAD,14.0,14.0,11.0,4518.0,SELL,4504.2,BUY,54216.0,54050.399999999994,4516.5,BUY,4505.7,SELL,25.983936,10.016064
2026-01-10 23:23:00,2026-01-11 06:48:00,SHORT_SPREAD,14.0,14.0,11.0,4518.86,SELL,4504.9,BUY,54226.31999999999,54058.799999999996,4517.36,BUY,4506.4,SELL,25.988428799999998,10.011571200000002
2026-01-11 08:42:00,2026-01-11 09:00:00,SHORT_SPREAD,14.0,14.0,11.0,4516.27,SELL,4502.0,BUY,54195.240000000005,54024.0,4514.77,BUY,4503.5,SELL,25.9726176,10.0273824
2026-01-11 13:59:00,2026-01-11 22:23:00,LONG_SPREAD,5.0,5.0,8.0,4510.94,BUY,4506.2,SELL,54131.28,54074.399999999994,4512.44,SELL,4504.7,BUY,25.9693632,10.0306368
2026-01-12 00:39:00,2026-01-12 02:20:00,LONG_SPREAD,5.0,5.0,8.0,4583.89,BUY,4579.6,SELL,55006.68000000001,54955.200000000004,4585.39,SELL,4578.1,BUY,26.390851200000004,9.609148799999996
2026-01-12 15:05:00,2026-01-12 15:15:00,SHORT_SPREAD,14.0,14.0,11.0,4614.5,SELL,4600.2,BUY,55374.0,55202.399999999994,4613.0,BUY,4601.7,SELL,26.538336,9.461663999999999
2026-01-12 15:36:00,2026-01-12 22:23:00,SHORT_SPREAD,14.0,14.0,11.0,4630.5,SELL,4616.7,BUY,55566.0,55400.399999999994,4629.0,BUY,4618.2,SELL,26.631936,9.368064
2026-01-12 23:11:00,2026-01-13 17:58:00,SHORT_SPREAD,14.0,14.0,11.0,4598.95,SELL,4585.099999999999,BUY,55187.399999999994,55021.2,4597.45,BUY,4586.599999999999,SELL,26.450063999999998,9.549936000000002
2026-01-14 09:31:00,2026-01-14 10:07:00,SHORT_SPREAD,14.0,14.0,11.0,4639.66,SELL,4625.8,BUY,55675.92,55509.600000000006,4638.16,BUY,4627.3,SELL,26.684524800000002,9.315475199999998
2026-01-14 12:06:00,2026-01-15 02:41:00,SHORT_SPREAD,14.0,14.0,11.0,4641.55,SELL,4627.599999999999,BUY,55698.600000000006,55531.2,4640.05,BUY,4629.099999999999,SELL,26.695152,9.304848
2026-01-15 04:20:00,2026-01-15 07:00:00,SHORT_SPREAD,14.0,14.0,11.0,4600.0,SELL,4585.9,BUY,55200.0,55030.799999999996,4598.5,BUY,4587.4,SELL,26.455391999999996,9.544608000000004
2026-01-15 08:06:00,2026-01-16 15:36:00,SHORT_SPREAD,14.0,14.0,11.0,4608.0,SELL,4594.2,BUY,55296.0,55130.399999999994,4606.5,BUY,4595.7,SELL,26.502336,9.497664
2026-01-16 15:37:00,2026-01-16 16:10:00,SHORT_SPREAD,14.0,14.0,11.0,4561.7,SELL,4547.5,BUY,54740.399999999994,54570.0,4560.2,BUY,4549.0,SELL,26.234496,9.765504
2026-01-16 19:06:00,2026-01-16 22:40:00,SHORT_SPREAD,14.0,14.0,11.0,4599.31,SELL,4585.4,BUY,55191.72,55024.799999999996,4597.81,BUY,4586.9,SELL,26.4519648,9.548035200000001
2026-01-16 15:37:00,2026-01-16 23:43:00,SHORT_SPREAD,11.0,11.0,8.0,4561.7,SELL,4547.5,BUY,54740.399999999994,54570.0,4560.2,BUY,4549.0,SELL,26.234496,9.765504
2026-01-17 01:13:00,2026-01-17 11:05:00,SHORT_SPREAD,14.0,14.0,11.0,4605.8,SELL,4591.599999999999,BUY,55269.600000000006,55099.2,4604.3,BUY,4593.099999999999,SELL,26.488512,9.511488
2026-01-17 14:54:00,2026-01-17 15:35:00,SHORT_SPREAD,14.0,14.0,11.0,4608.3,SELL,4594.5,BUY,55299.600000000006,55134.0,4606.8,BUY,4596.0,SELL,26.504064,9.495936
2026-01-17 16:00:00,2026-01-17 17:05:00,SHORT_SPREAD,14.0,14.0,11.0,4606.82,SELL,4592.599999999999,BUY,55281.84,55111.2,4605.32,BUY,4594.099999999999,SELL,26.4943296,9.5056704
2026-01-18 02:17:00,2026-01-18 23:17:00,SHORT_SPREAD,14.0,14.0,11.0,4614.45,SELL,4600.5,BUY,55373.399999999994,55206.0,4612.95,BUY,4602.0,SELL,26.539056,9.460944000000001
2026-01-18 23:24:00,2026-01-19 12:16:00,SHORT_SPREAD,14.0,14.0,11.0,4683.91,SELL,4669.9,BUY,56206.92,56038.799999999996,4682.41,BUY,4671.4,SELL,26.9389728,9.061027200000002
2026-01-19 17:39:00,2026-01-20 04:18:00,SHORT_SPREAD,14.0,14.0,11.0,4684.88,SELL,4670.8,BUY,56218.56,56049.600000000006,4683.38,BUY,4672.3,SELL,26.944358400000002,9.055641599999998
2026-01-20 05:06:00,2026-01-23 07:25:00,SHORT_SPREAD,14.0,14.0,11.0,4710.26,SELL,4695.2,BUY,56523.12,56342.399999999994,4708.76,BUY,4696.7,SELL,27.087724799999997,8.912275200000003
2026-01-23 07:43:00,2026-01-23 11:00:00,SHORT_SPREAD,14.0,14.0,11.0,4965.0,SELL,4951.2,BUY,59580.0,59414.399999999994,4963.5,BUY,4952.7,SELL,28.558656,7.441344000000001
2026-01-23 16:26:00,2026-01-23 21:58:00,SHORT_SPREAD,14.0,14.0,11.0,5003.6,SELL,4989.5,BUY,60043.200000000004,59874.0,5002.1,BUY,4991.0,SELL,28.780128000000005,7.219871999999995
2026-01-23 22:18:00,2026-01-24 00:05:00,SHORT_SPREAD,14.0,14.0,11.0,5000.14,SELL,4986.099999999999,BUY,60001.68000000001,59833.2,4998.64,BUY,4987.599999999999,SELL,28.7603712,7.239628799999998
2026-01-24 00:35:00,2026-01-25 08:16:00,SHORT_SPREAD,14.0,14.0,11.0,5011.86,SELL,4996.8,BUY,60142.31999999999,59961.600000000006,5010.36,BUY,4998.3,SELL,28.8249408,7.1750592
2026-01-25 08:17:00,2026-01-26 21:25:00,SHORT_SPREAD,14.0,14.0,11.0,5062.8,SELL,5042.2,BUY,60753.600000000006,60506.399999999994,5061.3,BUY,5043.7,SELL,29.102400000000003,6.897599999999997
2026-01-26 21:40:00,2026-01-26 22:07:00,SHORT_SPREAD,14.0,14.0,11.0,5025.91,SELL,5011.099999999999,BUY,60310.92,60133.2,5024.41,BUY,5012.599999999999,SELL,28.9065888,7.0934111999999985
2026-01-18 23:24:00,2026-01-26 22:49:00,SHORT_SPREAD,11.0,11.0,8.0,4683.91,SELL,4669.9,BUY,56206.92,56038.799999999996,4682.41,BUY,4671.4,SELL,26.9389728,9.061027200000002
2026-01-26 23:00:00,2026-01-26 23:48:00,SHORT_SPREAD,14.0,14.0,11.0,5027.54,SELL,5012.3,BUY,60330.479999999996,60147.600000000006,5026.04,BUY,5013.8,SELL,28.9147392,7.0852608
2026-01-27 00:52:00,2026-01-27 01:27:00,SHORT_SPREAD,14.0,14.0,11.0,5031.75,SELL,5017.7,BUY,60381.0,60212.399999999994,5030.25,BUY,5019.2,SELL,28.942416,7.0575839999999985
2026-01-27 03:12:00,2026-01-28 07:20:00,SHORT_SPREAD,14.0,14.0,11.0,5081.61,SELL,5067.5,BUY,60979.31999999999,60810.0,5080.11,BUY,5069.0,SELL,29.2294368,6.770563200000002
2026-01-28 07:23:00,2026-01-28 11:12:00,SHORT_SPREAD,14.0,14.0,11.0,5298.51,SELL,5282.599999999999,BUY,63582.12,63391.2,5297.01,BUY,5284.099999999999,SELL,30.4735968,5.526403200000001
